51700032128,Central Newport News, Newport News, VA,0.1106,Black
51700031400,South Newport News, Newport News, VA,0.0754,Black
51700032126,Central Newport News, Newport News, VA,0.0731,Black
51700032006,Jenkins, Newport News, VA,0.0723,Black
51700032212,North Newport News, Newport News, VA,0.0708,Black
51700032224,North Newport News, Newport News, VA,0.0683,Black
51700032129,South Newport News, Newport News, VA,0.0658,Black
51700031601,South Newport News, Newport News, VA,0.0638,Black
51700032223,North Newport News, Newport News, VA,0.0548,Black
51700032226,North Newport News, Newport News, VA,0.0533,Black
51700032124,McIntosh, Newport News, VA,0.0499,Black
51700031500,Central Newport News, Newport News, VA,0.0485,Black
51700032117,Saunders, Newport News, VA,0.0461,Black
51700032225,North Newport News, Newport News, VA,0.0452,Black
51700031902,Central Newport News, Newport News, VA,0.0431,Black
51700032132,North Newport News, Newport News, VA,0.0427,Black
51700031701,Central Newport News, Newport News, VA,0.0418,Black
51700032300,Fort Eustis, Newport News, VA,0.0382,Black
51700032127,Central Newport News, Newport News, VA,0.0372,Black
51700032005,Central Newport News, Newport News, VA,0.035,Black
51700032123,North Newport News, Newport News, VA,0.0345,Black
51700031901,Central Newport News, Newport News, VA,0.0343,Black
51700032007,North Newport News, Newport News, VA,0.0325,Black
51700031702,Boulevard, Newport News, VA,0.0307,Black
51700032400,Greenwood, Newport News, VA,0.0228,Black
51700032130,Central Newport News, Newport News, VA,0.0207,Black
51700031602,South Newport News, Newport News, VA,0.0179,Black
51700032211,Central Newport News, Newport News, VA,0.0171,Black
51700032113,Central Newport News, Newport News, VA,0.0132,Black
51700032131,North Newport News, Newport News, VA,0.0115,Black
51700032114,Central Newport News, Newport News, VA,0.0015,Black
51700032001,Central Newport News, Newport News, VA,0.0007,Black
