tract,Neighborhood ,City,State ,Incarceration Rate,Race
51700032006,Jenkins, Newport News, VA,0.0526,All
51700032212,North Newport News, Newport News, VA,0.0519,All
51700032128,Central Newport News, Newport News, VA,0.0513,All
51700032126,Central Newport News, Newport News, VA,0.0475,All
51700032225,North Newport News, Newport News, VA,0.0428,All
51700031400,South Newport News, Newport News, VA,0.04,All
51700032124,McIntosh, Newport News, VA,0.0391,All
51700031601,South Newport News, Newport News, VA,0.035,All
51700032223,North Newport News, Newport News, VA,0.0321,All
51700032129,South Newport News, Newport News, VA,0.0315,All
51700032224,North Newport News, Newport News, VA,0.0298,All
51700032226,North Newport News, Newport News, VA,0.0276,All
51700032132,North Newport News, Newport News, VA,0.0264,All
51700032300,Fort Eustis, Newport News, VA,0.0239,All
51700032123,North Newport News, Newport News, VA,0.0218,All
51700031701,Central Newport News, Newport News, VA,0.017,All
51700032117,Saunders, Newport News, VA,0.0143,All
51700031902,Central Newport News, Newport News, VA,0.0143,All
51700031602,South Newport News, Newport News, VA,0.0138,All
51700032400,Greenwood, Newport News, VA,0.0137,All
51700032127,Central Newport News, Newport News, VA,0.0133,All
51700032007,North Newport News, Newport News, VA,0.0131,All
51700031702,Boulevard, Newport News, VA,0.012,All
51700032005,Central Newport News, Newport News, VA,0.0119,All
51700031500,Central Newport News, Newport News, VA,0.0113,All
51700032131,North Newport News, Newport News, VA,0.0084,All
51700032211,Central Newport News, Newport News, VA,0.0075,All
51700032113,Central Newport News, Newport News, VA,0.0075,All
51700032130,Central Newport News, Newport News, VA,0.0074,All
51700032001,Central Newport News, Newport News, VA,0.0056,All
51700031901,Central Newport News, Newport News, VA,0.0028,All
51700031800,Central Newport News, Newport News, VA,0.002,All
51700032114,Central Newport News, Newport News, VA,0.0012,All
51700032128,Central Newport News, Newport News, VA,0.1106,Black
51700031400,South Newport News, Newport News, VA,0.0754,Black
51700032126,Central Newport News, Newport News, VA,0.0731,Black
51700032006,Jenkins, Newport News, VA,0.0723,Black
51700032212,North Newport News, Newport News, VA,0.0708,Black
51700032224,North Newport News, Newport News, VA,0.0683,Black
51700032129,South Newport News, Newport News, VA,0.0658,Black
51700031601,South Newport News, Newport News, VA,0.0638,Black
51700032223,North Newport News, Newport News, VA,0.0548,Black
51700032226,North Newport News, Newport News, VA,0.0533,Black
51700032124,McIntosh, Newport News, VA,0.0499,Black
51700031500,Central Newport News, Newport News, VA,0.0485,Black
51700032117,Saunders, Newport News, VA,0.0461,Black
51700032225,North Newport News, Newport News, VA,0.0452,Black
51700031902,Central Newport News, Newport News, VA,0.0431,Black
51700032132,North Newport News, Newport News, VA,0.0427,Black
51700031701,Central Newport News, Newport News, VA,0.0418,Black
51700032300,Fort Eustis, Newport News, VA,0.0382,Black
51700032127,Central Newport News, Newport News, VA,0.0372,Black
51700032005,Central Newport News, Newport News, VA,0.035,Black
51700032123,North Newport News, Newport News, VA,0.0345,Black
51700031901,Central Newport News, Newport News, VA,0.0343,Black
51700032007,North Newport News, Newport News, VA,0.0325,Black
51700031702,Boulevard, Newport News, VA,0.0307,Black
51700032400,Greenwood, Newport News, VA,0.0228,Black
51700032130,Central Newport News, Newport News, VA,0.0207,Black
51700031602,South Newport News, Newport News, VA,0.0179,Black
51700032211,Central Newport News, Newport News, VA,0.0171,Black
51700032113,Central Newport News, Newport News, VA,0.0132,Black
51700032131,North Newport News, Newport News, VA,0.0115,Black
51700032114,Central Newport News, Newport News, VA,0.0015,Black
51700032001,Central Newport News, Newport News, VA,0.0007,Black
51700031800,Central Newport News, Newport News, VA,,Black
51700032225,North Newport News, Newport News, VA,0.0557,White 
51700032126,Central Newport News, Newport News, VA,0.0419,White 
51700032300,Fort Eustis, Newport News, VA,0.0269,White 
51700032212,North Newport News, Newport News, VA,0.0264,White 
51700032006,Jenkins, Newport News, VA,0.0259,White 
51700032132,North Newport News, Newport News, VA,0.0257,White 
51700031400,South Newport News, Newport News, VA,0.0209,White 
51700031601,South Newport News, Newport News, VA,0.0169,White 
51700032123,North Newport News, Newport News, VA,0.0167,White 
51700032224,North Newport News, Newport News, VA,0.0146,White 
51700032129,South Newport News, Newport News, VA,0.0122,White 
51700031701,Central Newport News, Newport News, VA,0.0122,White 
51700032131,North Newport News, Newport News, VA,0.0095,White 
51700032124,McIntosh, Newport News, VA,0.0085,White 
51700031902,Central Newport News, Newport News, VA,0.0084,White 
51700031602,South Newport News, Newport News, VA,0.0082,White 
51700032113,Central Newport News, Newport News, VA,0.0076,White 
51700031702,Boulevard, Newport News, VA,0.0074,White 
51700032226,North Newport News, Newport News, VA,0.0074,White 
51700032007,North Newport News, Newport News, VA,0.0069,White 
51700032001,Central Newport News, Newport News, VA,0.0067,White 
51700032400,Greenwood, Newport News, VA,0.0066,White 
51700032211,Central Newport News, Newport News, VA,0.0064,White 
51700032005,Central Newport News, Newport News, VA,0.0051,White 
51700031500,Central Newport News, Newport News, VA,0.0046,White 
51700032128,Central Newport News, Newport News, VA,0.0041,White 
51700032117,Saunders, Newport News, VA,0.0033,White 
51700032127,Central Newport News, Newport News, VA,0.0031,White 
51700032130,Central Newport News, Newport News, VA,0.003,White 
51700031800,Central Newport News, Newport News, VA,0.0021,White 
51700032114,Central Newport News, Newport News, VA,0.0014,White 
51700031901,Central Newport News, Newport News, VA,0.0009,White 
51700032223,North Newport News, Newport News, VA,0,White 
